@relation sheep_weight

@attribute Eucl_A_B numeric
@attribute Eucl_A_C numeric
@attribute Eucl_A_D numeric
@attribute Eucl_B_C numeric
@attribute Eucl_B_D numeric
@attribute Eucl_C_D numeric
@attribute EquivalentDiameter numeric
@attribute AspectRadio numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute K_0_19 numeric
@attribute K_20_39 numeric
@attribute K_40_59 numeric
@attribute K_60_79 numeric
@attribute K_80_99 numeric
@attribute K_100_119 numeric
@attribute K_120_139 numeric
@attribute K_140_159 numeric
@attribute K_160_180 numeric
@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute Weight numeric
@data

988.2777949544349,395.69811725607184,264.02462006411446,717.8648897947301,791.6564911626759,411.8859065323794,578.4949196655689,2.536082474226804,0.6884337545050708,0.8418145684971103,262838.5,2990.171908020973,0,0,56,110,88,214,351,899,3117,0.001053916833099209,6.395982624328605e-07,1.282343692745108e-10,4.4113763117599173e-11,3.121027709066089e-21,2.5736325928394516e-14,-1.125900038961321e-21,43.2
988.0733778419495,262.68041419184647,396.7581127084864,791.6564911626759,717.8648897947301,411.8859065323794,578.4949196655689,2.536082474226804,0.6884337545050708,0.8418145684971103,262838.5,2990.171908020973,0,0,56,110,85,219,363,887,3129,0.001053916833099209,6.395982624328605e-07,1.2823436927453764e-10,4.411376311761031e-11,3.121027709067632e-21,2.5736325928400502e-14,1.1259000389617678e-21,43.2
988.0733778419495,714.2618567444296,784.6891104125251,400.15122141510454,267.9178978717174,410.86859213135284,578.4949196655689,2.536082474226804,0.6884337545050708,0.8418145684971103,262838.5,2990.171908020973,0,0,60,105,90,214,356,891,3122,0.001053916833099209,6.395982624328607e-07,1.2823436927455796e-10,4.4113763117610566e-11,3.1210277090676967e-21,2.573632592839872e-14,1.1259000389624522e-21,43.2
988.2777949544349,784.6891104125251,714.2618567444296,269.23595599399425,399.10023803550905,410.86859213135284,578.4949196655689,2.536082474226804,0.6884337545050708,0.8418145684971103,262838.5,2990.171908020973,0,0,60,105,87,219,369,878,3134,0.001053916833099209,6.395982624328607e-07,1.2823436927452596e-10,4.411376311760236e-11,3.1210277090665562e-21,2.5736325928396763e-14,-1.1259000389616645e-21,43.2
937.1045832776617,400.6419848193646,862.4853621946288,661.6350958043263,251.60286166894048,693.4298810982982,570.2206931333035,2.0303030303030303,0.5892926370005261,0.8229572172523139,255373.5,2949.1180852651596,0,0,0,93,145,281,358,895,3100,0.001001085764871995,4.803398173497818e-07,1.5412923777787812e-10,3.528352489669977e-11,1.8573132491854716e-21,7.114718049803845e-15,-1.822245480299105e-21,43.2
937.1926162747976,861.7389395866941,402.48354003611126,253.4324367558344,660.9394828575457,693.4298810982982,570.2206931333035,2.0303030303030303,0.5892926370005261,0.8229572172523139,255373.5,2949.1180852651596,0,0,0,92,141,289,350,913,3086,0.001001085764871996,4.803398173497793e-07,1.5412923777795518e-10,3.52835248967045e-11,1.857313249185169e-21,7.114718049793692e-15,1.8222454803010887e-21,43.2
937.1926162747976,652.5044061153917,252.23996511258878,409.60957020069736,864.6461704072944,688.9593601947796,570.2206931333035,2.0303030303030303,0.5892926370005261,0.8229572172523139,255373.5,2949.1180852651596,0,0,0,96,142,283,364,889,3099,0.001001085764871995,4.803398173497807e-07,1.5412923777788097e-10,3.528352489670156e-11,1.8573132491859125e-21,7.114718049806453e-15,1.822245480298971e-21,43.2
937.1045832776617,250.40167731067618,653.2090017750827,865.3900854527974,407.8001961745482,688.9593601947796,570.2206931333035,2.0303030303030303,0.5892926370005261,0.8229572172523139,255373.5,2949.1180852651596,0,0,0,95,138,293,354,906,3084,0.001001085764871996,4.803398173497806e-07,1.5412923777789107e-10,3.528352489670761e-11,1.857313249186796e-21,7.114718049808944e-15,-1.822245480299149e-21,43.2
731.1477278908825,364.8520247990958,786.3084636451524,488.7739763939975,269.31394319641157,659.5528788505134,560.4098285752066,1.4038461538461537,0.6497932033719704,0.8758430906072738,246661.5,2470.7606588602066,0,0,8,104,53,45,169,1066,2583,0.0008044047974135369,1.7733900985086959e-07,4.882350496829557e-11,4.455285465106143e-12,-5.820682591991665e-23,-1.8761107936986938e-15,-3.049092020184734e-23,43.2
730.0965689550937,781.0249675906655,371.9274122728789,272.31048455760936,487.24634426540337,659.5528788505134,560.4098285752066,1.4038461538461537,0.6497932033719704,0.8758430906072738,246661.5,2470.7606588602066,0,0,7,105,54,43,172,1080,2575,0.0008044047974135369,1.7733900985086959e-07,4.8823504968283045e-11,4.455285465105831e-12,-5.820682591989331e-23,-1.8761107936985593e-15,3.049092020185886e-23,43.2
730.0965689550937,484.6627693561782,272.04595200076034,374.42355695121535,788.3653975156444,662.6499830227116,560.4098285752066,1.4038461538461537,0.6497932033719704,0.8758430906072738,246661.5,2470.7606588602066,0,0,7,105,53,43,161,1057,2602,0.0008044047974135369,1.7733900985086959e-07,4.8823504968286057e-11,4.455285465103625e-12,-5.82068259199013e-23,-1.8761107936976525e-15,3.0490920201742804e-23,43.2
731.1477278908825,269.04646438858845,486.19851912567566,793.6000252016125,367.39624385668395,662.6499830227116,560.4098285752066,1.4038461538461537,0.6497932033719704,0.8758430906072738,246661.5,2470.7606588602066,0,0,7,105,54,42,163,1072,2591,0.0008044047974135369,1.7733900985086959e-07,4.8823504968272124e-11,4.455285465102626e-12,-5.820682591984055e-23,-1.8761107936972178e-15,-3.049092020179099e-23,43.2
1015.7347094591186,426.2417154620134,222.74873737015884,667.8839719592019,849.6316849082313,388.6811032195931,571.5722222131199,2.703804347826087,0.7007469412278785,0.8645675738512496,256585.5,2736.7606588602066,0,0,0,40,64,93,213,1130,3100,0.001108347790619258,7.802812374312319e-07,9.985156170682037e-11,5.3895734886247437e-11,3.9339940672811075e-21,4.5897100464840425e-14,-3.9473662230181937e-22,43.2
1016.3562367595331,221.89411889457548,427.5160815688692,849.9911764247909,667.7918837482229,388.6811032195931,571.5722222131199,2.703804347826087,0.7007469412278785,0.8645675738512496,256585.5,2736.7606588602066,0,0,4,39,61,94,210,1124,3087,0.001108347790619258,7.802812374312319e-07,9.985156170681268e-11,5.3895734886231417e-11,3.933994067279199e-21,4.589710046482757e-14,3.9473662230166035e-22,43.2
1016.3562367595331,657.8343256474232,737.4801692249088,435.25854385640724,336.40005945302687,367.3486082728503,571.5722222131199,2.703804347826087,0.7007469412278785,0.8645675738512496,256585.5,2736.7606588602066,0,0,0,41,62,93,217,1109,3115,0.001108347790619258,7.802812374312319e-07,9.985156170678802e-11,5.389573488621967e-11,3.93399406727742e-21,4.5897100464815024e-14,3.947366223015613e-22,43.2
1015.7347094591186,737.0658043892689,657.9278075898601,336.964389809962,434.00691238734896,367.3486082728503,571.5722222131199,2.703804347826087,0.7007469412278785,0.8645675738512496,256585.5,2736.7606588602066,0,0,4,40,59,94,216,1101,3102,0.001108347790619258,7.802812374312319e-07,9.985156170680254e-11,5.3895734886242816e-11,3.933994067280251e-21,4.589710046483735e-14,-3.9473662230173323e-22,43.2
966.400020695364,393.2085960403206,791.6691228032075,749.1061340023855,248.50150904974402,669.5050410564509,577.0834880864876,1.8563106796116504,0.5312538083438274,0.8135308809395694,261557.5,2962.265272974968,0,0,34,100,133,183,253,848,3273,0.0009715728540982963,4.195904652251141e-07,1.4353262530934526e-10,2.23282661020114e-11,3.6968045256402158e-22,-3.582927297283993e-15,-1.2087644024971016e-21,43.2
966.2473803328007,791.3210473632051,393.8146772277539,248.50150904974402,749.1061340023855,669.5050410564509,577.0834880864876,1.8563106796116504,0.5312538083438274,0.8135308809395694,261557.5,2962.265272974968,0,0,36,97,137,178,262,839,3274,0.0009715728540982963,4.1959046522511256e-07,1.435326253093522e-10,2.2328266102006258e-11,3.696804525640124e-22,-3.582927297282615e-15,1.2087644024966796e-21,43.2
